feature,weight,abs_weight
cat__Dependents_Yes,-1.6213230791240203,1.6213230791240203
num__Tenure Months,-0.9669967005360514,0.9669967005360514
cat__Contract_Two year,-0.8938542263372766,0.8938542263372766
cat__Contract_Month-to-month,0.7752341469626352,0.7752341469626352
cat__Internet Service_DSL,-0.6482034014726843,0.6482034014726843
cat__Internet Service_Fiber optic,0.5904332302645637,0.5904332302645637
num__Monthly Charges,-0.48662550747861577,0.48662550747861577
cat__Tenure_group_1-2yr,-0.387464015731243,0.387464015731243
cat__Paperless Billing_Yes,0.3249642323842877,0.3249642323842877
cat__Tenure_group_4-6yr,0.29194165385119314,0.29194165385119314
cat__Partner_Yes,0.28998382091727937,0.28998382091727937
cat__Multiple Lines_No,-0.2595072681874277,0.2595072681874277
cat__Online Backup_No internet service,-0.23433238820592017,0.23433238820592017
cat__Streaming Movies_No internet service,-0.23433238820592017,0.23433238820592017
cat__Streaming TV_No internet service,-0.23433238820592017,0.23433238820592017
cat__Tech Support_No internet service,-0.23433238820592017,0.23433238820592017
cat__Internet Service_No,-0.23433238820592017,0.23433238820592017
cat__Device Protection_No internet service,-0.23433238820592017,0.23433238820592017
cat__Online Security_No internet service,-0.23433238820592017,0.23433238820592017
cat__Online Security_Yes,-0.23024132261726557,0.23024132261726557
cat__Payment Method_Electronic check,0.20751345891405787,0.20751345891405787
cat__Tech Support_Yes,-0.206610043967977,0.206610043967977
cat__Tenure_group_2-4yr,-0.20286661789969945,0.20286661789969945
cat__Payment Method_Bank transfer (automatic),-0.18430611943259143,0.18430611943259143
cat__Contract_One year,-0.17348248003877323,0.17348248003877323
cat__Streaming Movies_No,-0.17251088190872413,0.17251088190872413
cat__Online Security_No,0.17247115140916128,0.17247115140916128
cat__Multiple Lines_No phone service,-0.1656096259627362,0.1656096259627362
cat__Streaming TV_No,-0.16527760560110621,0.16527760560110621
cat__Payment Method_Credit card (automatic),-0.16338979966737566,0.16338979966737566
cat__Payment Method_Mailed check,-0.15192009922800717,0.15192009922800717
num__AvgCharges,0.149003338906122,0.149003338906122
cat__Tech Support_No,0.1488398727599878,0.1488398727599878
cat__Multiple Lines_Yes,0.13301433473613963,0.13301433473613963
cat__Phone Service_Yes,-0.1264929334498543,0.1264929334498543
num__HighRisk_Combo,-0.11808791413425353,0.11808791413425353
cat__Streaming Movies_Yes,0.11474071070115612,0.11474071070115612
num__ServiceIntensity,0.11302962959210229,0.11302962959210229
num__num_services,0.11302962959208647,0.11302962959208647
cat__Online Backup_Yes,-0.11245590404193188,0.11245590404193188
cat__Streaming TV_Yes,0.10750743439349217,0.10750743439349217
num__Total Charges,0.07721908508331528,0.07721908508331528
cat__Device Protection_Yes,-0.06448774490659778,0.06448774490659778
cat__Online Backup_No,0.05468573283402325,0.05468573283402325
cat__Senior Citizen_Yes,0.0395072785131442,0.0395072785131442
cat__Gender_Male,0.022117817228036647,0.022117817228036647
cat__Device Protection_No,0.006717573698275237,0.006717573698275237
cat__Tenure_group_0-1yr,0.006286420365718283,0.006286420365718283
